BoY,Age,Male_K,Female_K,Total_K,Male_ratio,Female_ratio,Total_ratio
1960,58,794 ,805 ,1,599 ,72.91%,70.43%,71.67%
1959,59,793 ,808 ,1,600 ,72.82%,70.69%,71.72%
1958,60,838 ,862 ,1,700 ,76.95%,75.42%,76.20%
1957,61,882 ,911 ,1,793 ,80.99%,79.70%,80.37%
1956,62,932 ,967 ,1,900 ,85.58%,84.60%,85.16%
1955,63,999 ,1,042 ,2,042 ,91.74%,91.16%,91.53%
1954,64,1,089 ,1,143 ,2,231 ,100.00%,100.00%,100.00%
1953,65,1,074 ,1,136 ,2,210 ,98.62%,99.39%,99.06%
1952,66,1,017 ,1,079 ,2,096 ,93.39%,94.40%,93.95%
1951,67,628 ,678 ,1,306 ,57.67%,59.32%,58.54%
1950,68,664 ,732 ,1,396 ,60.97%,64.04%,62.57%
1949,69,800 ,892 ,1,692 ,73.46%,78.04%,75.84%
1948,70,768 ,863 ,1,631 ,70.52%,75.50%,73.11%
1947,71,780 ,885 ,1,665 ,71.63%,77.43%,74.63%
1946,72,749 ,858 ,1,608 ,68.78%,75.07%,72.08%
1945,73,669 ,778 ,1,447 ,61.43%,68.07%,64.86%
1944,74,571 ,676 ,1,247 ,52.43%,59.14%,55.89%
1943,75,594 ,720 ,1,315 ,54.55%,62.99%,58.94%
1942,76,594 ,735 ,1,329 ,54.55%,64.30%,59.57%
1941,77,576 ,731 ,1,307 ,52.89%,63.95%,58.58%
1940,78,530 ,694 ,1,224 ,48.67%,60.72%,54.86%
1939,79,478 ,649 ,1,127 ,43.89%,56.78%,50.52%
1938,80,455 ,642 ,1,096 ,41.78%,56.17%,49.13%
1937,81,421 ,614 ,1,035 ,38.66%,53.72%,46.39%
1936,82,379 ,578 ,957 ,34.80%,50.57%,42.90%
1935,83,335 ,535 ,870 ,30.76%,46.81%,39.00%
1934,84,299 ,505 ,804 ,27.46%,44.18%,36.04%
1933,85,265 ,470 ,735 ,24.33%,41.12%,32.94%
1932,86,231 ,434 ,664 ,21.21%,37.97%,29.76%
1931,87,198 ,403 ,602 ,18.18%,35.26%,26.98%
1930,88,156 ,351 ,507 ,14.33%,30.71%,22.73%
1929,89,120 ,297 ,417 ,11.02%,25.98%,18.69%
1928,90,90 ,259 ,348 ,8.26%,22.66%,15.60%
1927,91,70 ,222 ,291 ,6.43%,19.42%,13.04%
1926,92,53 ,185 ,238 ,4.87%,16.19%,10.67%
1925,93,43 ,160 ,204 ,3.95%,14.00%,9.14%
1924,94,27 ,107 ,134 ,2.48%,9.36%,6.01%
1923,95,21 ,90 ,111 ,1.93%,7.87%,4.98%
1922,96,16 ,71 ,87 ,1.47%,6.21%,3.90%
1921,97,12 ,56 ,67 ,1.10%,4.90%,3.00%
1920,98,7 ,37 ,44 ,0.64%,3.24%,1.97%
1919,99,5 ,28 ,33 ,0.46%,2.45%,1.48%
1918,100,7 ,48 ,55 ,0.64%,4.20%,2.47%
